"date","log_return"
2010-09-08,0.0324989848485782
2010-09-09,-0.0136583691227485
2010-09-10,-0.0108643905086276
2010-09-13,0.0550598486555587
2010-09-14,-0.00944288677480398
2010-09-15,0.00189533029168443
2010-09-16,0.000946719505735549
2010-09-17,-0.00189427451996149
2010-09-20,0.0150519346122113
2010-09-21,0.0527396569257292
2010-09-22,0.00881863831237117
2010-09-23,0.0199917472388289
2010-09-24,0.0536147087792318
2010-09-27,-0.0214356854718256
2010-09-28,-0.0025028939744749
2010-09-29,-0.00754714638933685
2010-09-30,-0.016978572656309
2010-10-01,-0.028659667582652
2010-10-04,-0.00973908902139242
2010-10-05,0.00709198020713964
2010-10-06,-0.0488789622380135
2010-10-07,-0.00744844528112654
2010-10-08,0.0148427789108372
2010-10-11,-0.00461468639863716
2010-10-12,0.0192399035869288
